event,gt,t_end_s,t_end_raw_s,final_idx,final_t_s,gt_pixels,pred_pixels,IoU,F1,Precision,Recall,TP,FP,FN,dtheta,IoUmax_tv,t_best_tv,IoUmax_static,t_best_static,IoU_last40,IoU_raw_tend,raw_idx,paper_IoU,paper_F1,paper_Prec,paper_Rec,paper_IoUmax,paper_tbest,paper_dtheta,has_tv
Kumamoto (2016),RP,24.858,24.858,30,24.407,605,1107,0.4899912967755441,0.65771028036999,0.5085817524795974,0.9305785123813127,563,544,42,12.802398681640625,0.524573721158229,21.694915771484375,0.524573721158229,21.694915771484375,0.34289057928412586,0.4899912967755441,30,0.371,0.541,0.421,0.759,0.425,20.3,19.7,True
Kumamoto (2016),Curved,24.858,24.858,30,24.407,771,1107,0.5636969192292782,0.7209797657043612,0.6115627822889652,0.8780804150340067,677,430,94,11.300643920898438,0.593572778822367,21.694915771484375,0.593572778822367,21.694915771484375,0.42501447596742903,0.5636969192292782,30,0.439,0.61,0.521,0.737,0.492,20.3,18.2,True
Iwate-Miyagi (2008),RP,23.027,23.027,29,22.373,661,954,0.37329931972471686,0.5436532507706275,0.46016771487987246,0.6641452344831446,439,515,222,40.18220567703247,0.4534632034582958,18.305084228515625,0.4534632034582958,18.305084228515625,0.2656249999984037,0.37329931972471686,29,0.368,0.538,0.461,0.646,0.454,18.3,42.6,True
Tottori (2000),RP,9.884,9.884,8,9.492,86,283,0.3038869257843149,0.46612466123398033,0.3038869257843149,0.999999999883721,86,197,0,20.664579927921295,0.39999999998139535,7.457627296447754,0.39999999998139535,7.457627296447754,0.15008726003228468,0.3038869257843149,8,0.306,0.469,0.306,1.0,0.434,6.8,4.6,True
Ridgecrest (2019),JIN,19.981,19.981,24,19.661,418,881,0.38338658146556565,0.5542725173167493,0.40862656072180903,0.8612440191181521,360,521,58,13.097667694091797,,,0.39230769230338125,18.983051300048828,0.19244697361514515,0.38338658146556565,24,0.351,0.519,0.365,0.9,0.387,18.3,18.0,False
Ridgecrest (2019),ROSS,19.981,19.981,24,19.661,397,881,0.3523809523772235,0.5211267605593026,0.37797956866767335,0.8387909319687962,333,548,64,11.529930114746094,,,0.3543478260831049,18.983051300048828,0.19206680584450905,0.3523809523772235,24,0.336,0.503,0.349,0.904,0.345,18.3,16.4,False
Ridgecrest (2019),XU,19.981,19.981,24,19.661,883,881,0.5180722891521681,0.6825396825358133,0.6833144154292473,0.68176670440904,602,279,281,7.265277862548828,,,0.5180722891521681,19.6610164642334,0.33622768933750014,0.5180722891521681,24,0.521,0.685,0.636,0.742,0.521,19.7,12.2,False
Chi-Chi (1999),CHI,37.158,37.158,48,36.61,2298,2172,0.5873579545433688,0.740044742727651,0.7615101289099379,0.7197563098315067,1654,518,644,9.636245727539062,,,0.5886120996420334,33.8983039855957,0.5391134289421802,0.5873579545433688,48,0.587,0.74,0.762,0.72,0.589,33.9,9.6,False
Chi-Chi (1999),MA,37.158,37.158,48,36.61,2583,2172,0.472136222908755,0.6414300736053808,0.7021178637168412,0.5903987611281828,1525,647,1058,16.094905734062195,,,0.48107255520352976,32.54237365722656,0.4379666858114935,0.472136222908755,48,0.472,0.641,0.702,0.59,0.481,32.5,16.1,False
Chi-Chi (1999),ZENG,37.158,37.158,48,36.61,2983,2172,0.4177667766765188,0.5893307468465775,0.6993554327776274,0.5092189071387556,1519,653,1464,9.657684326171875,,,0.4387724096006115,30.508474349975586,0.3906893004105178,0.4177667766765188,48,0.418,0.589,0.699,0.509,0.439,30.5,9.7,False
Menyuan (2022),XU/PKU,15.275,15.275,16,14.915,105,260,0.2807017543761157,0.4383561643715519,0.30769230768047334,0.7619047618321996,80,180,25,26.454601287841797,0.3647798741908943,8.813559532165527,0.3647798741908943,8.813559532165527,0.11347517730335496,0.2807017543761157,16,0.281,0.438,0.308,0.762,0.365,8.8,26.5,True
